ID,Bucket,Criterion,What pass requires,Notes,Conditional
P-S1,P — Pädagogik,Lernziel folgt Kompetenzbereich und Kompetenzbeschreibung (Naturwissenschaft),"Die Unterrichtsstunde benennt den Naturwissenschaftlichen oder Technischen Kompetenzbereich, zitiert eine Zielkompetenz der passenden Schulstufe mit ihrer korrekten AT.LP23.PRIM.SU-ID und leitet daraus ein beobachtbares Lernziel ab. Das Lernziel erhält sowohl den Gegenstand als auch die fachliche Handlung der Kompetenz – z. B. erkunden und dokumentieren, beobachten und untersuchen, erkennen und erklären oder Modelllösungen erproben und begründen. Bestanden = Kompetenzbereich, Kompetenz und Lernziel sind eindeutig aufeinander bezogen. Nicht bestanden = das Lernziel verlangt eine andere Handlung, vermischt mehrere unverbundene Kompetenzen oder ersetzt den Kompetenzwortlaut durch ein allgemeines Naturwissenschaftsziel.","Naturwissenschaftlicher oder Technischer Kompetenzbereich",PRIM.SU-Naturwissenschaft
P-S2,P — Pädagogik,Lebensweltlicher Zugang aktiviert die Kompetenzhandlung (Naturwissenschaft),"Ein beobachtbares Naturphänomen, ein Alltagsgegenstand oder eine konkrete Situation dient als Ausgangspunkt, wenn dies zur Zielkompetenz passt. Schüler:innen führen daran die im Lehrplan genannte Handlung aus – etwa wahrnehmen, erkunden, beobachten, untersuchen, vergleichen, beschreiben oder erklären. Bestanden = Ausgangspunkt und Schüler:innenhandlung sind zur zitierten Kompetenz nachverfolgbar. Nicht bestanden = das Phänomen ist nur ein dekorativer Aufhänger, oder die Lehrkraft erklärt den Inhalt, ohne dass Schüler:innen die verlangte Kompetenzhandlung selbst ausführen.","Naturwissenschaftlicher oder Technischer Kompetenzbereich",PRIM.SU-Naturwissenschaft
P-S3,P — Pädagogik,Erkunden und Untersuchen führen zur fachlichen Sicherung (Naturwissenschaft),"Wenn die Zielkompetenz erkunden, beobachten, untersuchen, identifizieren oder vergleichen verlangt, führen Schüler:innen diese Handlung aus und halten ihre Beobachtungen oder Ergebnisse in geeigneter Form fest; eine Abfolge vor der gemeinsamen fachlichen Sicherung wird nur verlangt, wenn die Zielkompetenz selbst diese Reihenfolge ausweist. Bei Kompetenzen mit anderen Operatoren folgt die Abfolge diesen Operatoren, statt eine Untersuchung zu erzwingen. Bestanden = Erarbeitung und Sicherung bilden die Handlung der Zielkompetenz ab, in der von ihr vorgesehenen Reihenfolge. Nicht bestanden = eine fertige Erklärung ersetzt die verlangte Erkundung oder Untersuchung, oder es wird eine fachfremde Standardabfolge vorgeschrieben.","Naturwissenschaftlicher oder Technischer Kompetenzbereich",PRIM.SU-Naturwissenschaft
P-S4,P — Pädagogik,Zusammenhänge und Wirkungen der Zielkompetenz werden genutzt (Naturwissenschaft),"Fordert die Zielkompetenz einen Zusammenhang, eine Wechselwirkung, eine Wirkung, eine Energieumwandlung oder eine Ableitung von Eigenschaften zu Verwendungszwecken, müssen Schüler:innen genau diesen Zusammenhang in einem Lernprodukt erklären, darstellen oder begründen. Bestanden = der in der Kompetenz genannte Zusammenhang ist für die Schüler:innenhandlung erforderlich. Nicht bestanden = ein beliebiges Oberkonzept wird nur im Stundenverlauf genannt, oder das Lernprodukt bleibt beim Benennen einzelner Teile stehen, obwohl die Kompetenz Zusammenhänge verlangt.","Naturwissenschaftlicher oder Technischer Kompetenzbereich",PRIM.SU-Naturwissenschaft
P-S5,P — Pädagogik,Dokumentation oder Modellbildung entspricht der Zielkompetenz (Naturwissenschaft),"Das Lernprodukt entspricht dem Operator der zitierten Kompetenz: Beobachtungen werden dokumentiert, Erklärungen stellen Zusammenhänge dar, und Modelllösungen werden erprobt und begründet, wenn die Kompetenz dies verlangt. Verlangt die zitierte Kompetenz selbst das Erproben und Begründen von Modelllösungen, muss das eingesetzte Modell für die geforderte Erklärung oder Begründung genutzt und anhand der Arbeitsergebnisse überprüft werden; eine Überarbeitung des Modells wird nicht verlangt, wenn der Lehrplan sie für die Zielkompetenz nicht ausweist. Bestanden = Darstellungsform und Überarbeitungstiefe sind lehrplangemäß. Nicht bestanden = ein bloß beschriftetes Bild ersetzt eine verlangte Erklärung, oder ein Modell bzw. seine Überprüfung wird unabhängig von der Zielkompetenz vorgeschrieben.","Naturwissenschaftlicher oder Technischer Kompetenzbereich",PRIM.SU-Naturwissenschaft
R-S1,R — Rigor,Begründungen greifen auf eigene Erkundungen und Beobachtungen zurück (Naturwissenschaft),"Wenn Schüler:innen gemäß Zielkompetenz erkunden, dokumentieren, beobachten, untersuchen, erklären oder ableiten, verlangt die Auswertungsaufgabe konkrete Bezüge auf die dabei gewonnenen Beobachtungen, Daten oder Arbeitsergebnisse. Eine Informationsrecherche ist zulässig, wenn die Kompetenz ausdrücklich ‚sich informieren' oder ‚recherchieren' verlangt. Bestanden = die Begründung nutzt die von der Kompetenz vorgesehene Erkenntnisquelle. Nicht bestanden = eine Schlussfolgerung bleibt ohne Bezug zur durchgeführten Arbeit, oder eine zulässige Recherche wird pauschal ausgeschlossen.","Naturwissenschaftlicher oder Technischer Kompetenzbereich",PRIM.SU-Naturwissenschaft
R-S2,R — Rigor,Quantitative Daten werden kompetenzgemäß ausgewertet (Naturwissenschaft),"Für Aufgaben der Schulstufen 3–4, die zu einer passenden Zielkompetenz quantitative Wetter-, Stoff-, Kraft- oder Energiedaten bereitstellen oder erheben lassen, müssen Schüler:innen relevante Zahlen in ihre Beschreibung, Erklärung oder Begründung einbeziehen. Bestanden = die quantitative Auswertung dient dem Operator der Zielkompetenz. Nicht bestanden = vorhandene aussagekräftige Zahlen bleiben ungenutzt; eine mathematische Modellierung wird nicht allein deshalb verlangt, weil Daten vorkommen.","Naturwissenschaftlicher oder Technischer Kompetenzbereich; nur bei quantitativen Daten in Schulstufe 3–4",PRIM.SU-Naturwissenschaft; PRIM.SU-SCH3-4-quantitative-daten
P-SS1,P — Pädagogik,Leitfrage entspricht dem Operator der Zielkompetenz (Gesellschaft),"Die Leitfrage aktiviert die anspruchsvollste Handlung der zitierten Sachunterrichtskompetenz. Bei ‚beurteilen', ‚Standpunkte begründet vertreten', ‚diskutieren' oder ‚bewerten' ist sie offen für begründete Positionen; bei ‚beschreiben', ‚ordnen', ‚rekonstruieren' oder ‚vergleichen' darf sie eine quellen- oder sachbezogen bestimmbare Antwort haben. Bestanden = Frageform und Offenheit passen zur Kompetenz. Nicht bestanden = jede Frage wird unabhängig vom Lehrplan als Streitfrage erzwungen, oder die Leitfrage bleibt unter dem Anforderungsniveau der Kompetenz.","Sozialwissenschaftlicher, Geografischer, Historischer oder Wirtschaftlicher Kompetenzbereich",PRIM.SU-Gesellschaft
P-SS2,P — Pädagogik,Teilfragen erschließen die Zielkompetenz (Gesellschaft),"Die Unterrichtsstunde gliedert die Leitfrage nur so weit in Teilfragen, wie es die Zielkompetenz und der schulstufenbezogene Anwendungsbereich erfordern. Jede Teilfrage bereitet eine im Kompetenzwortlaut genannte Handlung vor, z. B. beschreiben, vergleichen, ordnen, rekonstruieren, einschätzen, diskutieren oder bewerten. Bestanden = die Fragen sind in einer Unterrichtsstunde bearbeitbar und führen zur Zielkompetenz. Nicht bestanden = eine starre Hierarchie aus Haupt- und Unterstützungsfragen wird ohne Lehrplanbezug verlangt, oder die Teilfragen führen an der Kompetenz vorbei.","Sozialwissenschaftlicher, Geografischer, Historischer oder Wirtschaftlicher Kompetenzbereich",PRIM.SU-Gesellschaft
P-SS3,P — Pädagogik,Quellen und Materialien werden kompetenzgemäß eingesetzt (Gesellschaft),"Verlangt die Zielkompetenz ausdrücklich historische Quellen – etwa Vergleiche zwischen Vergangenheit und Gegenwart oder Rekonstruktion und Dekonstruktion –, stellt die Unterrichtsstunde geeignete, auffindbare Quellen mit Herkunftsangabe bereit und nutzt sie in der Schüler:innenarbeit. Bei Kompetenzen ohne Quellenbezug genügen passende Darstellungen, Daten oder Fallbeispiele; zwei Quellen werden nicht pauschal vorgeschrieben. Bestanden = Art und Zahl der Materialien folgen der Kompetenz. Nicht bestanden = eine Quellenkompetenz wird ohne zugängliche Quelle geplant, oder ein fremdes Zwei-Quellen-Schema ersetzt die tatsächliche Kompetenzhandlung.","Sozialwissenschaftlicher, Geografischer, Historischer oder Wirtschaftlicher Kompetenzbereich",PRIM.SU-Gesellschaft
P-SS4,P — Pädagogik,Analyseaufträge folgen der Kompetenzhandlung (Gesellschaft),"Die Analyseaufträge bilden die im Lehrplan genannte Handlung ab. Für den Historischen Kompetenzbereich der 4. Schulstufe bedeutet das, Ereignisse anhand von Quellen zu rekonstruieren und Darstellungen der Vergangenheit zu hinterfragen; in anderen Bereichen gelten deren eigene Operatoren wie vergleichen, einschätzen, reflektieren oder bewerten. Bestanden = die Abfolge führt nachweisbar zur Zielkompetenz. Nicht bestanden = eine fremde feste Fragenfolge wird verlangt, obwohl die gewählte Kompetenz diese Struktur nicht enthält.","Sozialwissenschaftlicher, Geografischer, Historischer oder Wirtschaftlicher Kompetenzbereich",PRIM.SU-Gesellschaft
P-SS5,P — Pädagogik,Sachunterricht ist korrekt dem Lehrplan zugeordnet (Gesellschaft),"Die Zielkompetenz wird mit ihrem vollständigen Wortlaut, der korrekten AT.LP23.PRIM.SU-ID und RIS-Provenienz aus dem Lehrplan der Volksschule angegeben. Für Sachunterricht wird kein Bildungsstandard-Code erfunden: Der ausgelieferte Datensatz weist ‚bildungsstandard_bezug: keine_verordnung' aus. Bestanden = Lehrplanbezug und definierter leerer Bildungsstandard-Bezug sind korrekt. Nicht bestanden = eine Sachunterrichtskompetenz wird einem fremden Rahmen oder der Bildungsstandardsverordnung zugeschrieben, paraphrasiert oder ohne nachvollziehbare Quelle angegeben.","Sozialwissenschaftlicher, Geografischer, Historischer oder Wirtschaftlicher Kompetenzbereich",PRIM.SU-Gesellschaft
R-SS1,R — Rigor,Abschlussaufgabe realisiert den anspruchsvollsten Kompetenzoperator (Gesellschaft),"Die formative Abschlussaufgabe verlangt die anspruchsvollste Handlung der Zielkompetenz – je nach Wortlaut z. B. vergleichen und einschätzen, anhand von Quellen rekonstruieren und Darstellungen hinterfragen, Standpunkte begründet vertreten oder Folgen diskutieren und bewerten. Materialien und Quellen müssen verwendet werden, wenn die Kompetenz sie voraussetzt. Bestanden = Aufgabe und erwartetes Schüler:innenprodukt machen den Zieloperator sichtbar. Nicht bestanden = bloße Zusammenfassung, Nacherzählung oder persönliche Meinung ersetzt eine geforderte Analyse oder Begründung.","Sozialwissenschaftlicher, Geografischer, Historischer oder Wirtschaftlicher Kompetenzbereich",PRIM.SU-Gesellschaft
