ID,Bucket,Criterion,What pass requires,Notes,Conditional
P1,P — Pädagogik,Kompetenz wörtlich benannt,"Die Zielkompetenz erscheint als vollständiger Text im Stundenverlauf – kein Code allein, keine Abkürzung, keine Paraphrase. Überall dort, wo die Kompetenz im Dokument erneut genannt wird, stimmt der Wortlaut wörtlich überein. Bestanden = vollständiger Text in der Kopfzeile und konsistente wörtliche Verwendung durchgehend. Nicht bestanden = Code-nur-Zitation, Paraphrase oder Text, der zwischen Kopfzeile und Text variiert.",,
P2,P — Pädagogik,Voraussetzung / vorherige Kompetenz benannt,"Eine vorherige Kompetenz aus den ausgelieferten Progressionsverknüpfungen oder eine ausdrücklich benannte Voraussetzungsfähigkeit wird so spezifisch angegeben, dass die Lehrkraft weiß, welches Vorwissen zu überprüfen ist. Bestanden = österreichische Kompetenz-ID mit kurzer Beschreibung (z. B. ‚AT.LP23.PRIM.D.LESEN.SCH2.01 – Leseflüssigkeit und erste Lesestrategien') oder eine gleich präzise Fähigkeitsbeschreibung. Nicht bestanden = fremder Standard-Code, eine erfundene Progressionszuordnung oder eine vage Aussage wie ‚Schüler:innen sollten etwas Hintergrund in Brüchen haben'.",,
P3,P — Pädagogik,Amtliche Kompetenz und Stundenlernziel sind getrennt,"Die Unterrichtsstunde unterscheidet die wörtlich zitierte amtliche Zielkompetenz mit AT.LP23-ID von dem daraus abgeleiteten, in dieser Unterrichtsstunde beobachtbaren Lernziel. Das Lernziel konkretisiert Gegenstand, Handlung und erwartetes Schüler:innenprodukt, ohne den Kompetenzwortlaut umzudeuten. Bestanden = beide Komponenten sind getrennt und nachverfolgbar. Nicht bestanden = nur ein allgemeines Thema wie ‚Schüler:innen lernen über Brüche', eine frei erfundene Leitidee anstelle der Kompetenz oder kein beobachtbares Stundenlernziel.",,
P4a,P — Pädagogik,Antizipierte Herausforderungen — Minimalzahl,"Mindestens 3 Missverständnisse oder antizipierte Herausforderungen werden benannt. Bestanden = 3 oder mehr Einträge. Nicht bestanden = weniger als 3.",,
P4b,P — Pädagogik,Antizipierte Herausforderungen — jeder Eintrag ist vollständig,"Jeder Eintrag zu einer Herausforderung benennt (a) was Schüler:innen tun, (b) warum es passiert, und (c) einen spezifischen Schritt der Lehrkraft. Bestanden = alle drei Komponenten in jedem Eintrag vorhanden. Nicht bestanden = ein Eintrag fehlt eine Komponente, oder Lehrerschritte sind generisch (‚erneut unterrichten', ‚Verständnis überprüfen').",,
P5,P — Pädagogik,Unterrichtsphasen vorhanden und korrekt sequenziert,"Die Unterrichtsstunde hat einen erkennbaren Unterrichtsbogen passend zur Fachdomäne mit Zeitzuweisungen für jede Phase. Bestanden = alle erforderlichen Phasen vorhanden mit Zeitangaben. Nicht bestanden = Phasen fehlen, sind zusammengefasst oder nicht gekennzeichnet.",,
P6a,P — Pädagogik,Beobachtungspunkte — Minimalzahl,"Mindestens 3 Beobachtungspunkte sind für die Haupt-Übungsphase benannt. Bestanden = 3 oder mehr Einträge. Nicht bestanden = weniger als 3.",,
P6b,P — Pädagogik,Beobachtungspunkte — jeder Eintrag beschreibt beobachtbares Schüler:innenverhalten,"Jeder Beobachtungspunkt beschreibt ein spezifisches beobachtbares Schüler:innenverhalten – worauf die Lehrkraft achtet – erklärt, warum es wichtig ist, und nennt einen Schritt der Lehrkraft. Zusätzlich SELBST die Ankeraufgabe klassifizieren: lässt sie wirklich mehrere korrekte Antworten zu (z.B. mehrere gültige Gleichungen oder Interpretationen passen)? Nur wenn ja, müssen die Beobachtungspunkte auch explizite Orientierung enthalten, dass mehrere korrekte Antworten zur Ankeraufgabe passen; wenn die Ankeraufgabe eine einzige richtige Antwort hat, entfällt diese Anforderung – keinesfalls failen, wenn Orientierung zu mehreren richtigen Antworten fehlt. Klassifikation in der Erklärung angeben. Nicht bestanden = jeder Beobachtungspunkt liest sich als Lehreranweisung (‚herumlaufen und Verständnis überprüfen') statt beobachtbares Schüler:innenverhalten, oder erforderliche Orientierung zu mehreren richtigen Antworten fehlt.",,
P7,P — Pädagogik,Visuelle Stützung mit Begründung,"Visuelle oder repräsentative Wahlen sind pädagogisch begründet MIT angegebener Begründung – z.B. eine Option zum ersten Zeichnen, eine bewusste Wahl, kein Diagramm vorab zu drucken, oder Orientierung, wann ein visuelles Modell eingeführt wird und warum. Bestanden = mindestens eine visuelle oder repräsentative Wahl mit expliziter Begründung. Nicht bestanden = visuelle Darstellungen ohne Begründung, oder kein Denken über visuelle/repräsentative Aspekte evident in der Planung.",,
P8,P — Pädagogik,Schüler:innen-Engagement-Anker,"Mindestens eine Aufgabe ist dafür konzipiert, echte Schüler:innen-Neugier oder Interesse zu wecken – ein unerwarteter oder neuartiger Kontext, eine offene Frage, ein echtweltliches Szenario, an dem Schüler:innen interessiert sind, oder produktives-Kampf-Design. Eine generische Textaufgabe oder Verständnisaufgabe zählt nicht; es muss eine bewusste Strategie vorhanden sein. Nicht jede Aufgabe muss diese Qualität haben – eine ist ausreichend.",,
